source,name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
google_maps,AAROHI CLINIC- Dr. Prakash Bikkad MBBS Diabetologist,diabetologist,Chikhali,Chikhali,5.0,172,"Silver Central Mall, Shram Safaly Cooperate Society, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",096372 00300,google_maps,N/A,18.6681632,73.8291741,432.03,"https://www.google.com/maps/place/AAROHI+CLINIC-+Dr.+Prakash+Bikkad+MBBS+Diabetologist/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b78ba554345f:0x7f79c57eaad0a5fd!8m2!3d18.6681632!4d73.8291741!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5rTW5CNWFFVkJFQUXgAQD6AQQIABBJ!16s%2Fg%2F11r_cpwx78?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,GOVERDHAN CARDIODIABETIC CLINIC,diabetologist,Chikhali,Chikhali,4.9,270,"Shop no 1, Rama Parkland, DP Road, Shiv Rd, near Rama Barcode, Aher, Chikhali, Borhadewadi, Pune, Maharashtra 412105",078358 91535,google_maps,N/A,18.6758974,73.833498,431.18,"https://www.google.com/maps/place/GOVERDHAN+CARDIODIABETIC+CLINIC/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7308ac56483:0xbd76ba038fa0168f!8m2!3d18.6758974!4d73.833498!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN04AEA!16s%2Fg%2F11srgd4hkg?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,"Dr. Rahul Gaikwad-MBBS MD MEDICINE|Best Diabetologist,Physician Cardiologist,Thyroid Specialist In Moshi,Chikhali,Alandi Pcmc",diabetologist,Chikhali,Chikhali,4.9,272,"Suman Multispecialty Hospital and ICU, Plot No. 125, Near Spine Rd , Gold Gym Chowk, Moshi Chikhali Pradhikaran, Moshi High Street Link Rd, near MNGL CNG Pump, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",080 4807 4535,google_maps,http://www.drrahulgaikwad.com/,18.6617403,73.8284289,432.48,"https://www.google.com/maps/place/Dr.+Rahul+Gaikwad-MBBS+MD+MEDICINE%7CBest+Diabetologist,Physician+Cardiologist,Thyroid+Specialist+In+Moshi,Chikhali,Alandi+Pcmc/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b749925ce139:0xbeec902c1c06ab76!8m2!3d18.6617403!4d73.8284289!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN04AEA!16s%2Fg%2F11qh32pxpn?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,"Dr Rizwan Malik - MD Diabetologist, Heart Specialist, Thyroid Doctor, Rheumatologist in Moshi, Chikhali, Pune",diabetologist,Chikhali,Chikhali,4.9,189,"G.No:195, DP Rd, next to Saheel Fortune Park, Phase 1, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",082370 02957,google_maps,https://drrizwanmalik.com/,18.6783878,73.8334655,431.04,"https://www.google.com/maps/place/Dr+Rizwan+Malik+-+MD+Diabetologist,+Heart+Specialist,+Thyroid+Doctor,+Rheumatologist+in+Moshi,+Chikhali,+Pune/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b772f32d7025:0x1ee8ce152343a3d3!8m2!3d18.6783878!4d73.8334655!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJPTWtsbWIxVkJFQUXgAQD6AQQIcBA9!16s%2Fg%2F11tpb5gkm4?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Dr. Vishwajeet Gaikwad MBBS MD (medicine) Consultant Physician Diabetologist Thyroid Specialist Sunshine speciality clinic,diabetologist,Chikhali,Chikhali,5.0,812,"River Residency Rd, near city pride school, Jadhav Wadi, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411062",091290 79292,google_maps,https://www.drvishwajeetgaikwad.in/,18.6819436,73.8297306,431.16,"https://www.google.com/maps/place/Dr.+Vishwajeet+Gaikwad+MBBS+MD+(medicine)+Consultant+Physician+Diabetologist+Thyroid+Specialist+Sunshine+speciality+clinic/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b7cf2e4142b3:0x7e0784b93e17bcb6!8m2!3d18.6819436!4d73.8297306!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11qg3km7hd?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,"Suman Multispecialty Hospital & ICU–Best Physician,Diabetologist,Cardiologist | Best Hospital in Moshi Chikhali PCMC Bhosari",diabetologist,Chikhali,Chikhali,4.7,302,"Suman Multispecialty Hospital and ICU, Plot No. 125, Near Spine Rd , Gold Gym Chowk, Moshi Chikhali Pradhikaran, Moshi High Street Link Rd, near MNGL CNG Pump, Sector 13, Chikhali, Pimpri-Chinchwad, Maharashtra 411019",080 4803 8863,google_maps,https://www.sumanmultispecialityhospital.com/,18.6617103,73.8284331,432.49,"https://www.google.com/maps/place/Suman+Multispecialty+Hospital+%26+ICU%E2%80%93Best+Physician,Diabetologist,Cardiologist+%7C+Best+Hospital+in+Moshi+Chikhali+PCMC+Bhosari/@18.6574546,73.7873928,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9172520646f:0x808d6c27c3897baf!8m2!3d18.6617103!4d73.8284331!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQhob3NwaXRhbOABAA!16s%2Fg%2F11wx0qktxt?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Dr. Abhishek Karmalkar | General Physician In Pimpri | Diabetologist In Pimpri Chinchwad | Intensivist In Pimpri Chinchwad,diabetologist,Chikhali,Chikhali,4.9,480,"1st Floor, above Suman Supermarket, behind Kundan Hyundai Showroom, Premsadan Housing Society, Ajantha Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",080 4803 8863,google_maps,https://www.drkarmalkar.com/,18.6625171,73.7924639,435.63,"https://www.google.com/maps/place/Dr.+Abhishek+Karmalkar+%7C+General+Physician+In+Pimpri+%7C+Diabetologist+In+Pimpri+Chinchwad+%7C+Intensivist+In+Pimpri+Chinchwad/@18.6625171,73.7203661,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b73b3a220567:0x61ded5e7df4dcbb9!8m2!3d18.6625171!4d73.7924639!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwMVJtRkZNVU5hUkVwNVRGWmFhR0ZYZEdoTk1EbDZUMGhPUTJRd1JSQULgAQD6AQQIABA6!16s%2Fg%2F11gzqqd9yl?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Sarvadnya Multispeciality Hospital | Best Hospital | Diabetes Specialist in Moshi | Cashless Hospital in Moshi,diabetologist,Chikhali,Chikhali,4.8,134,"1st Floor, above Suman Supermarket, behind Kundan Hyundai Showroom, Premsadan Housing Society, Ajantha Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",091684 93902,google_maps,https://www.drkarmalkar.com/,18.6792377,73.8477705,429.72,"https://www.google.com/maps/place/Sarvadnya+Multispeciality+Hospital+%7C+Best+Hospital+%7C+Diabetes+Specialist+in+Moshi+%7C+Cashless+Hospital+in+Moshi/@18.6792377,73.7756727,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2c81b560d9e03:0xbb3647fc7b04cbbc!8m2!3d18.6792377!4d73.8477705!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQZkb2N0b3LgAQA!16s%2Fg%2F11cl_kmpcb?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Pooja Clinic - Dr. Tanaji Bangar | General Physician In Chinchwad | Diabetologist & Hypertension Doctor In Chinchwad station,diabetologist,Chikhali,Chikhali,5.0,201,"Bharat Mata Chowk, Sable Height, Dehu - Alandi Rd, Tupe Vasti, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",072186 46464,google_maps,http://www.sarvadnyahospital.com/,18.639798,73.7934172,436.91,"https://www.google.com/maps/place/Pooja+Clinic+-+Dr.+Tanaji+Bangar+%7C+General+Physician+In+Chinchwad+%7C+Diabetologist+%26+Hypertension+Doctor+In+Chinchwad+station/@18.639798,73.7213194,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b964632b04e5:0x56bd606077c13df8!8m2!3d18.639798!4d73.7934172!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARRnZW5lcmFsX3ByYWN0aXRpb25lcuABAA!16s%2Fg%2F11mt7v23cz?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Supreme Clinic-Best Diabetologist in Akurdi-Best Diabetes Centre in Akurdi-Best Diabetes Centre,diabetologist,Chikhali,Chikhali,4.8,1594,"Rushabh Corner, Plot 29, Shri Mhalsakant Vidyalaya Rd, Sector No. 28, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044",099234 62661,google_maps,http://www.supremeclinic.in/,18.6486689,73.7744775,438.05,"https://www.google.com/maps/place/Supreme+Clinic-Best+Diabetologist+in+Akurdi-Best+Diabetes+Centre+in+Akurdi-Best+Diabetes+Centre/@18.639798,73.7213194,13z/data=!4m10!1m2!2m1!1sdiabetologist+in+Chikhali+Chikhali!3m6!1s0x3bc2b9c3289d52d3:0xcf1c7906a7ac5eb8!8m2!3d18.6486689!4d73.7744775!15sCiJkaWFiZXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRpYWJldG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kaWFiZXRvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40YlMwM1NWbG5FQUXgAQD6AQQIFhBA!16s%2Fg%2F11c1v0_nx1?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
